BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
He                                                              
bolsig_input_turner.txt
How to reference in publications:
1) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Grid type                                  0.000    
Maximum energy                             200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
2.399	0.2431E+25
2.536	0.2389E+25
2.679	0.2350E+25
2.832	0.2315E+25
2.992	0.2283E+25
3.162	0.2254E+25
3.342	0.2228E+25
3.531	0.2205E+25
3.732	0.2185E+25
3.944	0.2168E+25
4.168	0.2154E+25
4.404	0.2142E+25
4.654	0.2134E+25
4.919	0.2129E+25
5.198	0.2127E+25
5.493	0.2129E+25
5.804	0.2135E+25
6.134	0.2145E+25
6.482	0.2158E+25
6.850	0.2174E+25
7.239	0.2193E+25
7.650	0.2215E+25
8.084	0.2241E+25
8.543	0.2271E+25
9.028	0.2304E+25
9.541	0.2339E+25
10.08	0.2376E+25
10.65	0.2415E+25
11.26	0.2454E+25
11.90	0.2494E+25
12.57	0.2535E+25
13.29	0.2575E+25
14.04	0.2616E+25
14.84	0.2655E+25
15.68	0.2694E+25
16.57	0.2732E+25
17.51	0.2768E+25
18.51	0.2803E+25
19.56	0.2836E+25
20.67	0.2867E+25
21.84	0.2897E+25
23.08	0.2924E+25
24.39	0.2949E+25
25.78	0.2972E+25
27.24	0.2992E+25
28.79	0.3009E+25
30.42	0.3025E+25
32.15	0.3039E+25
33.97	0.3050E+25
35.90	0.3059E+25
37.94	0.3066E+25
40.09	0.3069E+25
42.37	0.3072E+25
44.77	0.3073E+25
47.31	0.3072E+25
50.00	0.3068E+25
 
 
Energy (eV)	Diffusion coefficient *N (1/m/s)
0.2000	0.1359E+25
0.2113	0.1391E+25
0.2234	0.1425E+25
0.2360	0.1459E+25
0.2494	0.1495E+25
0.2636	0.1531E+25
0.2786	0.1568E+25
0.2944	0.1606E+25
0.3111	0.1644E+25
0.3287	0.1684E+25
0.3474	0.1725E+25
0.3671	0.1767E+25
0.3880	0.1810E+25
0.4100	0.1854E+25
0.4333	0.1899E+25
0.4578	0.1945E+25
0.4838	0.1993E+25
0.5113	0.2042E+25
0.5403	0.2092E+25
0.5710	0.2144E+25
0.6034	0.2197E+25
0.6376	0.2251E+25
0.6739	0.2307E+25
0.7121	0.2365E+25
0.7526	0.2424E+25
0.7953	0.2486E+25
0.8405	0.2549E+25
0.8882	0.2614E+25
0.9385	0.2680E+25
0.9918	0.2750E+25
1.048	0.2821E+25
1.108	0.2895E+25
1.170	0.2971E+25
1.237	0.3050E+25
1.307	0.3133E+25
1.381	0.3218E+25
1.460	0.3307E+25
1.543	0.3400E+25
1.630	0.3496E+25
1.723	0.3598E+25
1.821	0.3704E+25
1.924	0.3815E+25
2.033	0.3932E+25
2.149	0.4055E+25
2.270	0.4185E+25
2.399	0.4322E+25
2.536	0.4468E+25
2.679	0.4623E+25
2.832	0.4788E+25
2.992	0.4964E+25
3.162	0.5152E+25
3.342	0.5354E+25
3.531	0.5570E+25
3.732	0.5802E+25
3.944	0.6050E+25
4.168	0.6317E+25
4.404	0.6603E+25
4.654	0.6911E+25
4.919	0.7242E+25
5.198	0.7599E+25
5.493	0.7983E+25
5.804	0.8399E+25
6.134	0.8851E+25
6.482	0.9343E+25
6.850	0.9882E+25
7.239	0.1048E+26
7.650	0.1113E+26
8.084	0.1186E+26
8.543	0.1267E+26
9.028	0.1356E+26
9.541	0.1454E+26
10.08	0.1561E+26
10.65	0.1678E+26
11.26	0.1805E+26
11.90	0.1942E+26
12.57	0.2091E+26
13.29	0.2251E+26
14.04	0.2422E+26
14.84	0.2606E+26
15.68	0.2803E+26
16.57	0.3012E+26
17.51	0.3234E+26
18.51	0.3471E+26
19.56	0.3721E+26
20.67	0.3984E+26
21.84	0.4262E+26
23.08	0.4554E+26
