8597.86958752  7.36041292385e-22
8616.35337682  8.95922177137e-21
8631.72192074  7.15667319037e-20
9054.14919533  4.56710240814e-19
9338.46725773  2.26358795371e-18
9757.36392089  8.96209275924e-18
10583.3193147  2.83471995472e-17
11953.1965533  7.79294496754e-17
13866.9956366  1.86201759267e-16
16869.8845075  3.97757409578e-16
20825.0000519  6.98237305749e-16
25188.4204252  1.15890375048e-15
29687.4578144  1.76816528926e-15
34185.8721545  2.4797786196e-15
39092.7990064  3.3818758343e-15
44271.9983053  4.484773225e-15
49178.0944252  5.46644075571e-15
54765.3908698  6.66425914996e-15
60352.4796315  7.89957926019e-15
66893.2488479  9.36639237969e-15
73978.9783241  1.11072665084e-14
81881.9405071  1.28099247369e-14
91147.0956567  1.43700064439e-14
101229.691196  1.61237863745e-14
112811.135133  1.86146560703e-14
126027.044484  2.03260073645e-14
